2.361022788419206431e-02,3.558965782042113057e-02,3.589620550186312098e-02,1.338972785740408233e-01,1.076945564492647334e-01,7.297057747899472757e-02,1.123353995019764906e-01,2.466096121488541848e-01,4.313412392818957719e-02,5.593349903058565664e-02,5.623480558525526668e-02,2.557728487892220182e-01,2.476885854470603221e-01
1.688922681885058480e-02,2.265763100119220358e-02,2.304206735727282879e-02,7.508651250338028993e-02,9.741552330961315842e-02,6.166752563800265152e-02,7.092852679455832754e-02,1.323360311144541890e-01,3.357284798397220521e-02,4.738775527872685078e-02,4.465082815191976501e-02,1.397794803291320109e-01,1.351908036763294074e-01
1.729560692985705750e-02,1.729143513187887671e-02,1.729427195450403826e-02,1.214447103270355904e-01,1.235990268029676514e-01,1.085311599934586230e-01,1.426818319866769436e-01,2.958817122838869329e-01,3.672784191221869360e-02,3.221562521901939063e-02,3.175288938727968691e-02,3.084356536317447994e-01,2.964071919572184854e-01
1.916401283936901637e-02,3.020956293121406303e-02,2.829265271211155522e-02,9.533882457281009359e-02,1.275431766391657840e-01,5.846363125635183761e-02,8.476279676048960321e-02,1.836589203315258934e-01,3.839454232131247341e-02,4.666805275882313087e-02,4.204206881750295610e-02,1.968501647529652399e-01,1.817758602187868888e-01
2.254167354692139524e-02,3.496926033899516728e-02,3.497038336294095578e-02,4.033767250375693003e-02,8.186219414754787593e-02,5.610937088614492002e-02,6.441081380554132541e-02,1.417251519513788582e-01,4.206960003294202971e-02,5.272974678305630825e-02,5.098375649846124263e-02,1.499465981317040508e-01,1.460968720455631253e-01
1.710431999028691127e-02,2.075865616905758076e-02,2.085491149257820073e-02,7.212331421846981949e-02,8.229660882396891419e-02,7.254942935594739517e-02,8.646722532501494030e-02,1.750123943078800981e-01,3.455227557157800056e-02,3.878618670925482875e-02,3.619237133268578960e-02,1.828777209105399981e-01,1.786243330033373544e-01
2.141537887303398766e-02,3.925096316381077727e-02,3.397329740953981825e-02,2.206850690303149842e-01,1.173651570664904775e-01,1.156584908574517512e-01,1.824295538985610254e-01,2.927268261500046709e-01,4.111218606008082421e-02,4.175658340698282234e-02,4.143095252396111067e-02,2.890991951468556143e-01,2.711595720034665202e-01
1.673840829749264486e-02,1.924015815215347758e-02,1.924460509684939452e-02,1.611790766552034238e-01,1.153128552132653417e-01,1.093634939825245816e-01,1.590710079452078429e-01,2.473013914959955872e-01,3.511220762242475008e-02,3.288718065152439890e-02,3.144170670122026917e-02,2.492115169359900573e-01,2.403879109627671540e-01
1.831319461711276159e-02,2.947415402734579470e-02,2.592103242633798238e-02,2.800275162206115886e-02,2.753923560012047980e-02,2.341136962458950296e-02,2.490600346033637960e-02,1.060429780704105901e-01,3.484003728572442060e-02,4.896728735115062070e-02,4.125415245681299942e-02,1.202644828868883881e-01,1.177897165947750652e-01
1.840136040509477225e-02,1.988948242435149838e-02,1.990758162021547331e-02,1.978266649215088269e-01,1.386358523596443182e-01,1.333502736353001927e-01,2.121179740353230925e-01,3.744081460697135655e-01,4.287822206588516594e-02,3.542135336992711242e-02,3.840373272907242341e-02,3.887246099981184755e-01,3.770490948356960970e-01
2.060738835068537042e-02,2.448030979083758510e-02,2.447990781310715319e-02,2.165667082043654657e-01,1.502705310125818927e-01,1.437584917795554085e-01,2.223370985247417331e-01,3.681419249373584779e-01,4.180488000964746598e-02,3.930967024426846451e-02,3.961235947528506801e-02,3.796887352440674879e-01,3.700665943106751787e-01
